Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q56VR3	FAXC_PSETE	reviewed	Venom prothrombin activator pseutarin-C catalytic subunit (PCCS) (vPA) (EC 3.4.21.6) (Venom coagulation factor Xa-like protease) [Cleaved into: Pseutarin-C catalytic subunit light chain; Pseutarin-C catalytic subunit heavy chain]		Pseudonaja textilis (Eastern brown snake)	467
P60254	CAMAU_SCOPA	reviewed	Maurocalcin (MCa) (Maurocalcine)		Scorpio palmatus (Israeli golden scorpion) (Scorpio maurus palmatus)	33
Q7T1M3	BNP_BOTJR	reviewed	Bradykinin-potentiating and C-type natriuretic peptides isoform 2 (BPP-CNP) [Cleaved into: Bradykinin-potentiating peptide 10a (BPP-10a); Bradykinin-potentiating peptide 6a (BPP-6a); Bradykinin-potentiating peptide 13a (BPP-13a) (Bradykinin-potentiating peptide XIIIa) (BPP-XIIIa); Bradykinin-potentiating peptide 10c (BPP-10c) (BPP-2) (Bradykinin-potentiating peptide Xc) (BPP-Xc); Bradykinin-potentiating peptide 10c-F (BPP-10c-F); Bradykinin-potentiating peptide 11b (BPP-11b); Bradykinin-potentiating peptide AP (BPP-AP); Bradykinin-potentiating peptide 11e (BPP-11e) (Bradykinin-potentiating peptide XIe) (BPP-XIe); Bradykinin-potentiating peptide 5a (BPP-5a) (Bradykinin-potentiating peptide Va) (BPPVa)] (Fragment)		Bothrops jararacussu (Jararacussu)	144
P01021	BNP_GLOBL	reviewed	Bradykinin-potentiating and C-type natriuretic peptides (Angiotensin-converting enzyme inhibitor) (BPP-CNP homolog) [Cleaved into: Blomhotin; Bradykinin-potentiating peptide A (BPP-a) (Potentiator A); Leu3-blomhotin (Potentiator D); Bradykinin-potentiating peptide B (BPP-b) (Potentiator B); Bradykinin-potentiating peptide C (BPP-c) (Potentiator C); Bradykinin-potentiating peptide E (BPP-e) (Potentiator E); Bradykinin-potentiating peptide Ahb1 (BPP-Ahb1); Bradykinin-potentiating peptide Ahb2 (BPP-Ahb2); C-type natriuretic peptide]		Gloydius blomhoffii (Mamushi) (Agkistrodon halys blomhoffi)	263
P59868	CAIMP_PANIM	reviewed	Imperacalcin (IpCa) (Imperatoxin activator) (Imperatoxin-A) (IpTxa)		Pandinus imperator (Emperor scorpion)	33
Q1L777	CA1A_CONPR	reviewed	Alpha-conotoxin PeIA (Fragment)		Conus pergrandis (Grand cone)	38
P0C1D0	CA1A_CONRE	reviewed	Alpha-conotoxin RgIA (Fragment)		Conus regius (Crown cone)	32
P0C1R0	PROTO_POLPI	reviewed	Polybia-CP (Polybia chemotactic peptide) (Venom protein CP)		Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp)	12
P86295	PORFL_POTOR	reviewed	Porflan		Potamotrygon orbignyi (Smooth back river stingray)	18
C0HJZ0	PON1G_ANOEM	reviewed	U1-poneritoxin-Ae1g (U1-PONTX-Ae1g)		Anochetus emarginatus (Ant) (Stenomyrmex emarginatus)	18
P0C1R1	PROTO_PROSY	reviewed	Protonectin		Protonectarina sylveirae (Brazilian wasp)	12
P86147	PROTO_ORADR	reviewed	Venom peptide 2-long (OdVP2L) [Cleaved into: Orancis-protonectin (Venom peptide 2) (OdVP2)]	VP2	Orancistrocerus drewseni (Solitary wasp)	71
P0CV91	PRDX4_CROAT	reviewed	Peroxiredoxin-4 (EC 1.11.1.15) (Fragments)		Crotalus atrox (Western diamondback rattlesnake)	36
P69437	PROTO_AGEPP	reviewed	Protonectin (Agelaia-chemotactic peptide) (Agelaia-CP)		Agelaia pallipes pallipes (Neotropical social wasp)	12
B3EWN0	PTX1_PTEMU	reviewed	Beta-theraphotoxin-Pmr1a (Beta-TRTX-Pmr1a) (Beta-theraphotoxin-Pm1a) (Beta-TRTX-Pm1a) (Pterinotoxin-1)		Pterinochilus murinus (Mombasa golden starburst baboon spider)	34
P0C7K4	SVMI1_ATHSQ	reviewed	Poly-His-poly-Gly peptide 1 (pHpG-1)		Atheris squamigera (Variable bush viper)	24
P0C7K6	SVMI2_ATHNI	reviewed	Poly-His-poly-Gly peptide 2 (pHpG 2)		Atheris nitschei (Great lakes bush viper)	30
B6DCJ4	TX105_LYCSI	reviewed	U1-lycotoxin-Ls1b (Toxin-like structure LSTX-A5)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
B6DCJ5	TX106_LYCSI	reviewed	U1-lycotoxin-Ls1e (Toxin-like structure LSTX-A6)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
B6DCJ6	TX107_LYCSI	reviewed	U1-lycotoxin-Ls1e (Toxin-like structure LSTX-A7)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
B6DCJ7	TX108_LYCSI	reviewed	U1-lycotoxin-Ls1b (Toxin-like structure LSTX-A8)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
B6DCJ9	TX109_LYCSI	reviewed	U1-lycotoxin-Ls1a (Toxin-like structure LSTX-A10) (Toxin-like structure LSTX-A9)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
B6DCK5	TX116_LYCSI	reviewed	U1-lycotoxin-Ls1b (Toxin-like structure LSTX-A16)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
P0C292	TX11_ANDCR	reviewed	Toxin Acra1 (Acra I-1)		Androctonus crassicauda (Arabian fat-tailed scorpion)	80
B6DCK9	TX120_LYCSI	reviewed	U1-lycotoxin-Ls1h (Toxin-like structure LSTX-A20)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
B6DCL0	TX121_LYCSI	reviewed	U1-lycotoxin-Ls1i (Toxin-like structure LSTX-A21)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
B6DCL2	TX123_LYCSI	reviewed	U1-lycotoxin-Ls1d (Toxin-like structure LSTX-A23)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
B6DCM2	TX133_LYCSI	reviewed	U1-lycotoxin-Ls1r (Toxin-like structure LSTX-A33)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
B6DCM3	TX134_LYCSI	reviewed	U1-lycotoxin-Ls1s (Toxin-like structure LSTX-A34)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
B6DCM4	TX135_LYCSI	reviewed	U1-lycotoxin-Ls1t (Toxin-like structure LSTX-A35)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
B6DCM7	TX138_LYCSI	reviewed	U1-lycotoxin-Ls1v (Toxin-like structure LSTX-A38)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	107
B6DCN5	TX146_LYCSI	reviewed	U1-lycotoxin-Ls1dd (Toxin-like structure LSTX-A46)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	110
B6DCP1	TX152_LYCSI	reviewed	U1-lycotoxin-Ls1jj (Toxin-like structure LSTX-A52)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	110
B6DCP2	TX153_LYCSI	reviewed	U1-lycotoxin-Ls1kk (Toxin-like structure LSTX-A53)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	110
B6DCP4	TX155_LYCSI	reviewed	U1-lycotoxin-Ls1ll (Toxin-like structure LSTX-A55)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	110
P0DJA9	TX15_GRARO	reviewed	Toxin GTx1-15 (Beta/omega-theraphotoxin-Gr2a) (Beta/omega-TRTX-Gr2a) (Toxin GpTx-1)		Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata)	82
P0DL73	TX15_PARSR	reviewed	Toxin GTx1-15 (Beta/omega-theraphotoxin-Gr2a) (Beta/omega-TRTX-Gr2a) (Toxin GpTx-1)		Paraphysa scrofa (Chilean copper tarantula) (Phrixotrichus auratus)	34
B3FIQ7	TX16C_CYRSC	reviewed	U10-theraphotoxin-Hs2a (U10-TRTX-Hs2a) (HWTX-XVIc)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	113
P83997	TX16_PHONI	reviewed	U19-ctenitoxin-Pn1a (U19-CNTX-Pn1a) (Non-toxic venom protein PNTx16C1)		Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	68
P83893	TX16_PHORI	reviewed	U9-ctenitoxin-Pr1a (U9-CNTX-Pr1a) (Non-toxic venom protein PRTx16C0)		Phoneutria reidyi (Brazilian Amazonian armed spider) (Ctenus reidyi)	64
P84016	TX17_PHORI	reviewed	U6-ctenitoxin-Pr1a (U6-CNTX-Pr1a) (Venom protein PRTx17C1)		Phoneutria reidyi (Brazilian Amazonian armed spider) (Ctenus reidyi)	32
C0HKG7	TX1A_CHEPU	reviewed	DELTA-miturgitoxin-Cp1a (DELTA-MGTX-Cp1a) (Toxin CpTx1) (Toxin CpTx1a)		Cheiracanthium punctorium (Yellow sac spider) (Aranea punctoria)	183
P60992	TX1A_HETMC	reviewed	Delta-theraphotoxin-Hm1a (Delta-TRTX-Hm1a) (Heteroscodratoxin-1) (HmTx1) (Kappa-theraphotoxin-Hm1a) (Kappa-TRTX-Hm1a)		Heteroscodra maculata (Togo starburst tarantula) (Togo starburst baboon spider)	35
C0HKG8	TX1B_CHEPU	reviewed	DELTA-miturgitoxin-Cp1b (DELTA-MGTX-Cp1b) (Toxin CpTx1) (Toxin CpTx1b)		Cheiracanthium punctorium (Yellow sac spider) (Aranea punctoria)	183
C0HKG9	TX1C_CHEPU	reviewed	DELTA-miturgitoxin-Cp1c (DELTA-MGTX-Cp1c) (Toxin CpTx1) (Toxin CpTx1c)		Cheiracanthium punctorium (Yellow sac spider) (Aranea punctoria)	183
P0C244	TX1_PSACA	reviewed	Tau/kappa-theraphotoxin-Pc1a (Tau/kappa-TRTX-Pc1a) (Vanillotoxin-1) (VaTx1)		Psalmopoeus cambridgei (Trinidad chevron tarantula)	35
Q5Y4U4	TX20A_AGEOR	reviewed	U8-agatoxin-Ao1a (U8-AGTX-Ao1a) (AgorTX_B6)		Agelena orientalis (Funnel-web spider)	99
O76200	TX20A_PHONI	reviewed	Kappa-ctenitoxin-Pn1a (Kappa-CNTX-Pn1a) (Neurotoxin Tx3-1) (PNTx3-1)		Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	83
P83911	TX20A_PHORI	reviewed	Omega-ctenitoxin-Pr1a (Omega-CNTX-Pr1a) (Neurotoxin PRTx17C3) (Neurotoxin PRTx3-7) (Tx3-7)		Phoneutria reidyi (Brazilian Amazonian armed spider) (Ctenus reidyi)	43
P85269	TX20B_CTEON	reviewed	U10-ctenitoxin-Co1a (U10-CNTX-Co1a) (Neurotoxin Oc FU-5) (Fragment)		Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus)	37
P81791	TX20C_PHONI	reviewed	U7-ctenitoxin-Pn1a (U7-CNTX-Pn1a) (Neurotoxin Tx3-5) (PnTx3-5)		Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	84
P83895	TX21A_PHOKE	reviewed	U1-ctenitoxin-Pk1a (U1-CNTX-Pk1a) (Neurotoxin PKTx19C5)		Phoneutria keyserlingi (Brazilian wandering spider) (Ctenus keyserlingii)	45
P81789	TX21A_PHONI	reviewed	Omega-ctenitoxin-Pn2a (Omega-CNTX-Pn2a) (Neurotoxin Tx3-3) (Omega-PnTx3-3) (PnTx3-3) (Fragment)		Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	34
P83909	TX21A_PHORI	reviewed	U2-ctenitoxin-Pr1a (U2-CNTX-Pr1a) (Neurotoxin PRTx22C1)		Phoneutria reidyi (Brazilian Amazonian armed spider) (Ctenus reidyi)	40
P0DL38	TX21A_PLETR	reviewed	Delta/omega-plectoxin-Pt1a (Delta/omega-PLTX-Pt1a)		Plectreurys tristis (Spider) (Plectreurys bispinosus)	77
P36984	TX22B_PLETR	reviewed	U1-plectoxin-Pt1b (U1-PLTX-Pt1b) (Plectoxin VIII) (PLT-VIII) (PLTVIII) (Plectoxin-8) (Fragment)		Plectreurys tristis (Spider) (Plectreurys bispinosus)	61
P36985	TX22C_PLETR	reviewed	U1-plectoxin-Pt1c (U1-PLTX-Pt1c) (Plectoxin XI) (PLT-XI) (PLTXI) (Plectoxin-11) (Fragment)		Plectreurys tristis (Spider) (Plectreurys bispinosus)	79
P36986	TX22D_PLETR	reviewed	U1-plectoxin-Pt1d (U1-PLTX-Pt1d) (Plectoxin XII) (PLT-XII) (PLTXII) (Plectoxin-12) (Fragment)		Plectreurys tristis (Spider) (Plectreurys bispinosus)	45
P36983	TX22G_PLETR	reviewed	U1-plectoxin-Pt1a (U1-PLTX-Pt1a) (PLT-V/PLT-VI) (PLTVI) (Plectoxin V/VI) (Plectoxin-5/6)		Plectreurys tristis (Spider) (Plectreurys bispinosus)	82
P0C297	TX23_ANDCR	reviewed	Toxin Acra II-3		Androctonus crassicauda (Arabian fat-tailed scorpion)	72
Q75WH3	TX24A_MACGS	reviewed	U11-hexatoxin-Mg1a (U11-HXTX-Mg1a) (Neurotoxin magi-10)		Macrothele gigas (Japanese funnel web spider)	77
B3EWT4	TX27B_CUPSA	reviewed	Toxin CSTX-19		Cupiennius salei (American wandering spider)	35
P83996	TX27_PHONI	reviewed	U17-ctenitoxin-Pn1a (U17-CNTX-Pn1a) (Neurotoxin PNTx27C4)		Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	36
P0C2S9	TX29A_PHONI	reviewed	U10-ctenitoxin-Pn1a (U10-CNTX-Pn1a) (Neurotoxin Pn3-5A) (Fragment)		Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	76
P29426	TX29_PHONI	reviewed	U5-ctenitoxin-Pn1a (U5-CNTX-Pn1a) (Neurotoxin Tx2-9)		Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	32
A0A059T2H4	TX2A_CHEPU	reviewed	DELTA-miturgitoxin-Cp2a (DELTA-MGTX-Cp2a) (Toxin CpTx-2a) (Toxin CpTx1-2a)		Cheiracanthium punctorium (Yellow sac spider) (Aranea punctoria)	179
P0C245	TX2_PSACA	reviewed	Tau-theraphotoxin-Pc1b (Tau-TRTX-Pc1b) (Vanillotoxin-2) (VaTx2)		Psalmopoeus cambridgei (Trinidad chevron tarantula)	35
P83746	TX2_THEBL	reviewed	Kappa-theraphotoxin-Tb1b (Kappa-TRTX-Tb1b) (Theraphotoxin-2) (TlTx2)		Theraphosa blondi (Goliath birdeating spider)	35
B6DCS0	TX303_LYCSI	reviewed	U3-lycotoxin-Ls1k (Toxin-like structure LSTX-B25) (Toxin-like structure LSTX-B3)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	115
B6DCQ8	TX313_LYCSI	reviewed	U3-lycotoxin-Ls1c (Toxin-like structure LSTX-B13)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	115
B6DCR1	TX316_LYCSI	reviewed	U3-lycotoxin-Ls1e (Toxin-like structure LSTX-B16)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	115
B6DCR2	TX317_LYCSI	reviewed	U3-lycotoxin-Ls1f (Toxin-like structure LSTX-B17)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	115
B6DCR3	TX318_LYCSI	reviewed	U3-lycotoxin-Ls1a (Toxin-like structure LSTX-B18) (Toxin-like structure LSTX-B4)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	115
B6DCR4	TX319_LYCSI	reviewed	U3-lycotoxin-Ls1a (Toxin-like structure LSTX-B19)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	115
P0DM66	TX31A_SELPU	reviewed	Orally active insecticidal peptide (Toxin OAIP 2)		Selenotypus plumipes (Australian featherleg tarantula)	79
P58605	TX325_SEGFL	reviewed	Omega-segestritoxin-Sf1a (Omega-SGTX-Sf1a) (Toxin SNX-325)		Segestria florentina (Tube-web spider) (Segestria gracilis)	49
B1P1I1	TX32A_CHIGU	reviewed	U30-theraphotoxin-Cg1a (U30-TRTX-Cg1a) (Jingzhaotoxin-62) (JZTX-62)		Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	116
D2Y2B6	TX32A_CYRHA	reviewed	Hainantoxin-XV (HNTX-XV)		Cyriopagopus hainanus (Chinese bird spider) (Haplopelma hainanum)	117
B1P1I2	TX32B_CHIGU	reviewed	U30-theraphotoxin-Cg1b (U30-TRTX-Cg1b) (Jingzhaotoxin-63) (JZTX-63) (Peptide F5-9.19)		Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	116
D2Y2B8	TX32C_CYRHA	reviewed	Hainantoxin-XV-2 (HNTX-XV-2)		Cyriopagopus hainanus (Chinese bird spider) (Haplopelma hainanum)	117
B1P1I5	TX32D_CHIGU	reviewed	U32-theraphotoxin-Cg1a (U32-TRTX-Cg1a) (Jingzhaotoxin-66) (JZTX-66) (Peptide F8-12.07)		Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	110
D2Y2D9	TX32E_CYRHA	reviewed	Hainantoxin-XV-5 (HNTX-XV-5)		Cyriopagopus hainanus (Chinese bird spider) (Haplopelma hainanum)	117
D2Y2D8	TX32F_CYRHA	reviewed	Hainantoxin-XV-4 (HNTX-XV-4)		Cyriopagopus hainanus (Chinese bird spider) (Haplopelma hainanum)	117
P0C299	TX32_ANDCR	reviewed	Toxin Acra III-2		Androctonus crassicauda (Arabian fat-tailed scorpion)	76
P0DMD8	TX32_LOXIN	reviewed	U2-sicaritoxin-Li1b (U2-SCRTX-Li1b)		Loxosceles intermedia (Brown spider)	86
P83910	TX32_PHOKE	reviewed	U6-ctenitoxin-Pk1a (U6-CNTX-Pk1a) (Neurotoxin PKTx32C4)		Phoneutria keyserlingi (Brazilian wandering spider) (Ctenus keyserlingii)	36
P85266	TX35D_CTEON	reviewed	U1-ctenitoxin-Co1a (U1-CNTX-Co1a) (Neurotoxin Oc F17-11) (Fragment)		Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus)	23
P85265	TX35E_CTEON	reviewed	U12-ctenitoxin-Co1a (U12-CNTX-Co1a) (Neurotoxin Oc M14-5) (Fragments)		Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus)	40
P84028	TX36A_ANCSP	reviewed	Delta-ctenitoxin-Asp2e (Delta-CNTX-Asp2e) (Neurotoxin ANC45C1)		Ancylometes sp. (South American fishing spider)	47
P85235	TX36A_CTEON	reviewed	U11-ctenitoxin-Co1a (U11-CNTX-Co1a) (Neurotoxin Oc M10-6) (Fragment)		Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus)	18
P83896	TX36A_PHOKE	reviewed	U4-ctenitoxin-Pk1a (U4-CNTX-Pk1a) (Neurotoxin PKTx28C4) (Fragment)		Phoneutria keyserlingi (Brazilian wandering spider) (Ctenus keyserlingii)	44
P29425	TX36A_PHONI	reviewed	Delta-ctenitoxin-Pn2a (Delta-CNTX-Pn2a) (Delta-CNTX-Pn1c) (Neurotoxin Tx2-6) (PnTx2-6)		Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	82
P83904	TX36A_PHORI	reviewed	Delta-ctenitoxin-Pr2d (Delta-CNTX-Pr2d) (Neurotoxin PRTx32C1)		Phoneutria reidyi (Brazilian Amazonian armed spider) (Ctenus reidyi)	47
P84509	TX3_CERMR	reviewed	Beta-theraphotoxin-Cm2a (Beta-TRTX-Cm2a) (Ceratotoxin-3) (CcoTx3)		Ceratogyrus marshalli (Straighthorned baboon tarantula) (Ceratogyrus cornuatus)	39
Q6B4T3	TX3_LOXIN	reviewed	U2-sicaritoxin-Li1a (U2-SCRTX-Li1a) (LiTx3) (Toxin 3)		Loxosceles intermedia (Brown spider)	86
P86117	TX3_OPICY	reviewed	Toxin OcyKTx3 (Fragment)		Opisthacanthus cayaporum (South American scorpion)	13
P83747	TX3_THEBL	reviewed	Kappa-theraphotoxin-Tb1c (Kappa-TRTX-Tb1c) (Theraphotoxin-3) (TlTx3)		Theraphosa blondi (Goliath birdeating spider)	35
B6DCT5	TX403_LYCSI	reviewed	U4-lycotoxin-Ls1c (U4-LCTX-Ls1c) (Toxin-like structure LSTX-C3)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	109
B6DCT8	TX406_LYCSI	reviewed	U4-lycotoxin-Ls1a (U4-LCTX-Ls1a) (Toxin-like structure LSTX-C6)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	109
A0A0R4I951	TX609_SCOSD	reviewed	Scoloptoxin SSD609		Scolopendra subspinipes dehaani (Thai centipede) (Scolopendra dehaani)	47
